created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls
2021-04-16 10:01:45,1382997634990927873,RT @ActingTheGom: Powerful performance by MM https://t.co/DrHputnFRO,BrianDBourke,Loki De Búrca,Fri Jun 29 08:50:25 +0000 2012,[]
2021-04-16 09:56:44,1382996372887064576,"@ActingTheGom Essentially, its like a goalkeeper diving for a shot after it's hit the net! Pointless and almost a token gesture",alanroverskelly,Alan Kelly,Tue Jun 05 22:13:11 +0000 2012,[]
2021-04-16 09:54:13,1382995738402099201,@ActingTheGom I agree the MHQ should have been in place for then (Christmas) and its something that should have bee… https://t.co/jaG9TnH9yO,alanroverskelly,Alan Kelly,Tue Jun 05 22:13:11 +0000 2012,"[{'url': 'https://t.co/jaG9TnH9yO', 'expanded_url': 'https://twitter.com/i/web/status/1382995738402099201', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-04-16 09:53:56,1382995666985758722,"RT @ActingTheGom: If we had MHQ or restrictions of any kind last year only a fraction of the 60,000 people who flew home for Christmas woul…",sezme_,Cathy D,Sun Nov 09 13:46:13 +0000 2014,[]
2021-04-16 09:53:27,1382995546097520641,@Troscad_Dbarna @ActingTheGom @BrianDBourke I mean if you're gonna care today and not tomorrow then maybe shut the fuck up,ruillebuille,Laura,Fri May 01 14:22:17 +0000 2009,[]
2021-04-16 09:50:10,1382994719203065857,@ruillebuille @ActingTheGom @BrianDBourke A family fleeing a warzone with a baby doesn't even figure in that gobshite's thinking,lawblaw2020,Bob_Lawblaw,Mon Aug 10 10:37:45 +0000 2020,[]
2021-04-16 09:49:51,1382994639905558531,RT @ActingTheGom: How's that criminal investigation of our Tánaiste going?,77_yanni,Yanni_77,Thu Feb 06 16:24:40 +0000 2020,[]
2021-04-16 09:49:47,1382994620964077568,"@ActingTheGom The creep about to force Covid aparteid on you .

Just by his eagerness you can tell he's just anothe… https://t.co/i8McFO76mK",77_yanni,Yanni_77,Thu Feb 06 16:24:40 +0000 2020,"[{'url': 'https://t.co/i8McFO76mK', 'expanded_url': 'https://twitter.com/i/web/status/1382994620964077568', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-04-16 09:48:33,1382994314075250688,@ruillebuille @ActingTheGom @BrianDBourke I feel Dave couldn't give a fook about the baby! I can't recall his artic… https://t.co/7E1IMAEbIc,Troscad_Dbarna,Craic-Hommy,Mon Mar 30 14:15:09 +0000 2009,"[{'url': 'https://t.co/7E1IMAEbIc', 'expanded_url': 'https://twitter.com/i/web/status/1382994314075250688', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-04-16 09:48:02,1382994183053578246,"@ActingTheGom @Troscad_Dbarna @BrianDBourke Oh my bad, i'll just https://t.co/1YZiSxZIEY",ruillebuille,Laura,Fri May 01 14:22:17 +0000 2009,[]
2021-04-16 09:46:03,1382993682002022401,"@Troscad_Dbarna @ActingTheGom @BrianDBourke Aaah these white rights, i see. Because he seems really concerned about… https://t.co/jBQDoyM1MV",ruillebuille,Laura,Fri May 01 14:22:17 +0000 2009,"[{'url': 'https://t.co/jBQDoyM1MV', 'expanded_url': 'https://twitter.com/i/web/status/1382993682002022401', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-04-16 09:45:33,1382993558723039236,"RT @ActingTheGom: If we had MHQ or restrictions of any kind last year only a fraction of the 60,000 people who flew home for Christmas woul…",Ireland_1912,Brian Ward,Tue May 23 18:58:08 +0000 2017,[]
2021-04-16 09:44:01,1382993171009900545,@ruillebuille @ActingTheGom @BrianDBourke The baby has rights!! It white if you are not aware,Troscad_Dbarna,Craic-Hommy,Mon Mar 30 14:15:09 +0000 2009,[]
2021-04-16 09:41:59,1382992657786486787,"@ActingTheGom @BrianDBourke Genuinely perplexed about this, not a parent so maybe I just don't *get it* but is a ba… https://t.co/JthZqandWf",ruillebuille,Laura,Fri May 01 14:22:17 +0000 2009,"[{'url': 'https://t.co/JthZqandWf', 'expanded_url': 'https://twitter.com/i/web/status/1382992657786486787', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-04-16 09:33:25,1382990503168376832,@ActingTheGom I wonder how many of those criticising MHQ for a fortnight as too oppressive think that imprisonment… https://t.co/gKTTqF86mt,peadarmor,Peadar O' Buaigh,Sun Aug 22 08:27:47 +0000 2010,"[{'url': 'https://t.co/gKTTqF86mt', 'expanded_url': 'https://twitter.com/i/web/status/1382990503168376832', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
2021-04-16 09:31:43,1382990077865947137,"RT @ActingTheGom: If we had MHQ or restrictions of any kind last year only a fraction of the 60,000 people who flew home for Christmas woul…",BrianDBourke,Loki De Búrca,Fri Jun 29 08:50:25 +0000 2012,[]
2021-04-16 09:29:48,1382989593138577409,"RT @ActingTheGom: Please stop whining about the minor inconvenience MHQ is, death is a slightly larger one, last time I checked.",PaulHan38269578,Paul Hanley,Tue Apr 28 21:27:46 +0000 2020,[]
2021-04-16 09:27:36,1382989038060249088,@ActingTheGom @higginsdavidw Interestingly the same party that has ensured many babies lived out their entire childhood sin hotel rooms.,celticgibson,CelticGibson,Mon Apr 07 01:57:45 +0000 2008,[]
2021-04-16 09:25:58,1382988629383974912,"RT @ActingTheGom: Please stop whining about the minor inconvenience MHQ is, death is a slightly larger one, last time I checked.",Smartheat,Pat Murphy,Mon Jan 04 18:39:45 +0000 2010,[]
2021-04-16 09:21:52,1382987597627154433,"RT @ActingTheGom: ""I'm not at 11%"" https://t.co/xYCiXskTXI",Emma_niDhulaing,Emma ní Dhúnlainge,Mon Oct 05 13:01:29 +0000 2015,[]
2021-04-16 09:12:31,1382985244371005442,RT @ActingTheGom: Eamon Ryan has so many bicycle lanes in South Dublin he's planning to bypass some with more cycle lanes.,TerryTi54945887,Terry Tibbs,Thu May 03 23:40:21 +0000 2018,[]
2021-04-16 09:09:26,1382984468353388547,"RT @ActingTheGom: @higginsdavidw David loves Fine Gael, but not enough to put it in his bio. https://t.co/LhBlfMjm7s",wisethady,Thady1,Wed Apr 09 18:41:08 +0000 2014,[]
2021-04-16 08:59:37,1382981998441029632,"@ActingTheGom Exactly, no one likes lockdowns, MHQ etc, and we arent cheerleaders for prolonging it indefinitely as… https://t.co/MxhzEDyvxz",celticjazz,Fran Kennedy,Thu Jun 17 12:51:11 +0000 2010,"[{'url': 'https://t.co/MxhzEDyvxz', 'expanded_url': 'https://twitter.com/i/web/status/1382981998441029632', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-04-16 08:58:37,1382981746208149506,"RT @ActingTheGom: @higginsdavidw David loves Fine Gael, but not enough to put it in his bio. https://t.co/LhBlfMjm7s",TrumanKelly,Ned Kelly 🏴‍☠️,Wed Jul 25 19:37:12 +0000 2012,[]
2021-04-16 08:57:24,1382981440279883780,"RT @ActingTheGom: @higginsdavidw David loves Fine Gael, but not enough to put it in his bio. https://t.co/LhBlfMjm7s",lawblaw2020,Bob_Lawblaw,Mon Aug 10 10:37:45 +0000 2020,[]
2021-04-16 08:56:10,1382981130857684993,"RT @ActingTheGom: @higginsdavidw David loves Fine Gael, but not enough to put it in his bio. https://t.co/LhBlfMjm7s",Troscad_Dbarna,Craic-Hommy,Mon Mar 30 14:15:09 +0000 2009,[]
2021-04-16 08:54:50,1382980793912459269,"@ActingTheGom Where is this energy from him with all the babies who grew to be adults in Direct Provision and are still ""living"" there!!!",Troscad_Dbarna,Craic-Hommy,Mon Mar 30 14:15:09 +0000 2009,[]
2021-04-16 08:53:37,1382980487547908096,"RT @ActingTheGom: If we had MHQ or restrictions of any kind last year only a fraction of the 60,000 people who flew home for Christmas woul…",Troscad_Dbarna,Craic-Hommy,Mon Mar 30 14:15:09 +0000 2009,[]
2021-04-16 08:52:34,1382980223726100482,"RT @ActingTheGom: If we had MHQ or restrictions of any kind last year only a fraction of the 60,000 people who flew home for Christmas woul…",lawblaw2020,Bob_Lawblaw,Mon Aug 10 10:37:45 +0000 2020,[]
2021-04-16 08:52:08,1382980114422566915,"RT @ActingTheGom: If we had MHQ or restrictions of any kind last year only a fraction of the 60,000 people who flew home for Christmas woul…",TrumanKelly,Ned Kelly 🏴‍☠️,Wed Jul 25 19:37:12 +0000 2012,[]
2021-04-16 08:20:46,1382972219312193537,@ActingTheGom That's why take away exists😁,Old_Crone5,Old Crone5🏴‍☠️,Sat Feb 09 12:24:48 +0000 2019,[]
2021-04-16 08:07:01,1382968758847860736,"RT @ActingTheGom: ""I'm not at 11%"" https://t.co/xYCiXskTXI",whispering01,Nuala O' Neill,Mon Jan 12 07:55:38 +0000 2009,[]
2021-04-16 08:00:52,1382967212521234435,RT @ActingTheGom: Eamon Ryan has so many bicycle lanes in South Dublin he's planning to bypass some with more cycle lanes.,cawley_sinead,Danu,Wed Feb 12 23:58:48 +0000 2020,[]
2021-04-16 07:45:51,1382963435776921602,@ActingTheGom If the Poll said he was at 80% would he believe it then?🤔,PatMoloney8,Pat Moloney 🏴‍☠️🏴‍☠️,Tue Jul 12 12:30:20 +0000 2016,[]
2021-04-16 07:33:21,1382960289373634561,"@ActingTheGom Makes it all the worse, knowing he comes from a medical background.",weepee11,Paul,Wed Dec 30 08:48:24 +0000 2009,[]
2021-04-16 07:18:26,1382956535417016323,@ActingTheGom @davidmcw @fiannafailparty What chance did #KBC have in Ireland with comical Ali Austin Hughes as chief economist ?,Berminn27,Niall B,Sat May 21 12:41:02 +0000 2011,[]
2021-04-16 06:58:45,1382951579020623872,"RT @EamonMelia: @ActingTheGom Ye FF are still above 10% , Under Martin that`s a win.",Owlwatch3,Owl watch,Fri Apr 03 16:18:47 +0000 2020,[]
2021-04-16 06:58:37,1382951545248055296,"RT @ActingTheGom: Let me guess, he's not referring to Fianna Fail poll results? https://t.co/hcNz0OZpOr",Owlwatch3,Owl watch,Fri Apr 03 16:18:47 +0000 2020,"[{'url': 'https://t.co/hcNz0OZpOr', 'expanded_url': 'https://twitter.com/newschambers/status/1382802692150595586', 'display_url': 'twitter.com/newschambers/s…', 'indices': [80, 103]}]"
2021-04-16 06:52:05,1382949902280450048,"@ActingTheGom Ask him why those wind turbines are run on fossil fuels and they are not spun by the wind, and why ar… https://t.co/3kiurN8oVr",padrevm,CuleneGig,Tue Mar 09 23:59:29 +0000 2021,"[{'url': 'https://t.co/3kiurN8oVr', 'expanded_url': 'https://twitter.com/i/web/status/1382949902280450048', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-04-16 06:45:18,1382948193915260929,@ActingTheGom @noonancat Well done Eamonn Ryan!  About time!,MilliesMommie,Millies Mommie,Sun Jun 20 13:58:45 +0000 2010,[]
2021-04-16 06:26:10,1382943381966426114,@ActingTheGom Can they build a by pass around him to cut him off into the wilderness.,cpbyrne,Chris Byrne 🇮🇪👌🙏 ☦️,Mon Mar 09 12:54:43 +0000 2009,[]
2021-04-16 06:08:07,1382938838465708034,@zandook @DudleyVerse @TKHulk2 @2XXXSeries @Zedit55 @SenorQuintante @Ethanarc00 @ActingTheGom @EmeraldEnthusi1… https://t.co/9gruzcQXpD,charlie78617944,charlie,Sat Apr 06 07:24:09 +0000 2019,"[{'url': 'https://t.co/9gruzcQXpD', 'expanded_url': 'https://twitter.com/i/web/status/1382938838465708034', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]"
